company_name,website,hotel_type,estimated_rooms,london_area,icp_fit_level,icp_fit_reasoning
Themusicroom,https://themusicroom.co.uk/,upscale,50-100,Mayfair,Medium,"50-100 rooms, group-..."
Thened,https://www.thened.com/rooms-and-suites,upscale,50-100,London,Medium,"50-100 rooms, group-..."
Thenewman,https://thenewman.com/,boutique,Unknown,Fitzrovia,Medium,Luxury property
Thepilgrm,https://www.thepilgrm.com/,boutique,50-100,Victoria,Medium,"50-100 rooms, group-..."
Thistle Hotels London,https://www.thistlehotels.com/,business,100-200,Multiple,Medium,"Budget-friendly chain, group bookings, multiple locations"
"Top 10 Hotels in Fulham, London",https://www.hotels.com/nh1696045/hotels-in-fulham-london-united-kingdom/ ,independent,100-200,Hammersmith & Fulham,Medium,group-focused
"Top 10 Hotels in Soho, London",https://www.hotels.com/nh1696015/hotels-in-soho-london-united-kingdom/,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
"Top 10 Hotels near Wardour Street, London 2026",https://uk.trip.com/hot/hotels-near-wardour-street-london/,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Tower Bridge Hotel: Hotel Indigo® London,https://www.ihg.com/hotelindigo/hotels/gb/en/london/lonlt/hoteldetail,independent,100-200,Tower Hamlets,Medium,4-5 star
Trip Hotel,https://www.trip.com/hotels/london-hotel-detail-29995674/luxurious-fulham-home-by-the-river-thames/,luxury,100-200,Hammersmith & Fulham,Medium,4-5 star
Valeriewade,https://www.valeriewade.com/,upscale,50-100,Chelsea,Medium,"50-100 rooms, group-..."
Virgin Hotels London-Shoreditch,https://virginhotels.com/london-shoreditch/,luxury,50-100,Islington,Medium,"luxury, 50-100 rooms"
Vogue,https://www.vogue.co.uk/article/rockstar-boudoir-thomas-moreton-interview,upscale,50-100,Mayfair,Medium,"50-100 rooms, group-..."
W London,https://www.marriott.com/en-us/hotels/lonhw-w-london/overview/,luxury,50-100,Soho,Medium,"luxury, 50-100 rooms"
Wandsworth Hotels,https://www.trivago.com/en-US/odr/hotels-wandsworth-united-kingdom?search=200-412901,luxury,50-100,Notting Hill,Medium,"luxury, 50-100 rooms"
West London Hotel in Hammersmith,https://www.ihg.com/holidayinnexpress/hotels/us/en/london/lonhs/h oteldetail,independent,100-200,Hammersmith & Fulham,Medium,group-focused
West London Hotel: Holiday Inn Express London,http://expresshammersmith.co.uk/ ,independent,100-200,Hammersmith & Fulham,Medium,group-focused
Why choose,http://www.chesterfieldmayfair.com/about/group-accommodation,luxury,50-100,City,Medium,Group-ready
Wilde Aparthotels Covent Garden,https://www.wildehotels.com/aparthotel/covent-garden,boutique,100-200,Covent Garden,Medium,Theatre district aparthotel
Www Eur,https://www-eur.cvent.com/venues/london/hotel/hilton-london-metropole/venue-2255ac40-fd30-4d86-98a7-f412d328ea97,chain,50-100,Central London,Medium,
"°ASSEMBLY LEICESTER SQUARE LONDON 3* (United Kingdom)
					- from £ 117",https://assemblylondon.hotelmix.co.uk/,business,100-200,Westminster,Medium,group-focused
11Cadogangardens,https://www.11cadogangardens.co.uk/ ,independent,50-100,Chelsea,Low,
54 Queens Gate Hotel,https://www.54queensgate.com/,boutique,50-100,Kensington,Low,50-100 rooms
[Español](https://www.facebook.com/login/?next=https://www.facebook.com/smallluxuryhotelsoftheworld/),https://www.facebook.com/smallluxuryhotelsoftheworld/,upscale,100-200,London,Low,100-200 rooms
Addington Palace,https://addington-palace.co.uk/corporate-away-day-planning-2026-addington-palace/,business,50-100,Central London,Low,
Adult Designs,http://www.adult-designs.co.uk/,independent,50-100,Central London,Low,
Anyamountofbooks,https://www.anyamountofbooks.com/,upscale,50-100,London,Low,50-100 rooms
Aroomlondon,https://aroomlondon.com/,upscale,50-100,London,Low,50-100 rooms
Ashridge House,https://www.ashridgehouse.org.uk/en/corporate/corporate-packages/retreat/,business,50-100,Central London,Low,
Asiayo,https://asiayo.com/en-us/tag/star-hotel/list/gb/greater-london-district/area/kensington-and-chelsea/ ,independent,50-100,Chelsea,Low,
Bankside Hotel,https://thecollectionevents.com/venues/bankside-hotel/,boutique,100-200,City,Low,Group-ready
Bedmap,https://www.bedmap.co.uk/hotels/chelsea-cloisters-kensington-and-chelsea-sw3-3dw,independent,50-100,Chelsea,Low,
Bedrooms & Suites in Shoreditch,https://onehundredshoreditch.com/stay/,business,50-100,Islington,Low,Small independent property
Belmond Hotels,https://www.belmond.com/hotels/europe/uk/london/belmond-cadogan-hotel/gardens,luxury,200+,West,Low,Limited group signal
Benpentreath,http://www.benpentreath.com/shop,upscale,50-100,Holborn,Low,50-100 rooms
Bertrand's Townhouse,https://www.bertrands-townhouse.com,boutique,50-100,Bloomsbury,Low,Boutique with event focus
Bertrandstownhouse,https://www.bertrandstownhouse.co.uk/quarters/,upscale,50-100,Bloomsbury,Low,50-100 rooms
Best Western Victoria Palace Hotel,https://www.bestwestern.co.uk/hotels/best-western-victoria-palace-83873/?corpId=&rateCode=,chain,50-100,Westminster,Low,50-100 rooms
"Book the five-star Radisson Blu Hotel, London Leicester Square",https://www.radissonhotels.com/en-us/hotels/radisson-blu-london-leicester-square,independent,100-200,Westminster,Low,50+ rooms
Booking,https://booking.slh.com/,boutique,50-100,London,Low,50-100 rooms
Bookrags,https://www.bookrags.com/ebooks/14415/?mode=print ,independent,50-100,Central London,Low,
Boutique Hotel in Leicester Square London | Hotel Indigo London,http://www.hotelindigo.com/lonleicestersq,chain,100-200,Westminster,Low,50+ rooms
Bridiehall,https://bridiehall.com/pages/shop,upscale,50-100,Holborn,Low,50-100 rooms
BWH Hotels,https://www.bwhhotels.com/content/bwh-hotels/en_US.html,chain,50-100,London,Low,50-100 rooms
Characterful Hotels,https://slh.com/,boutique,50-100,London,Low,50-100 rooms
Chesterfield Mayfair Weddings,https://chesterfield-mayfair-weddings.venuecrew.com/,independent,50-100,Mayfair,Low,group events
Churchhouseconf,https://www.churchhouseconf.co.uk/,business,50-100,Central London,Low,
Collezione,https://collezione.starhotels.com/en/our-hotels/the-pelham-london/ ,independent,50-100,Kensington,Low,
Comprising over 600 hotels across 90 countries,https://joinslh.com/,boutique,50-100,London,Low,50-100 rooms
Concertpass,https://www.concertpass.com/venues/,independent,50-100,Central London,Low,
Conferences Uk,https://www.conferences-uk.org.uk/venue/hilton-london-metropole,business,50-100,Central London,Low,
Cubitthouse,https://www.cubitthouse.co.uk/the-orange-boutique-hotel-belgravia/,independent,50-100,Belgravia,Low,group events
Cumberlandlodge,https://www.cumberlandlodge.ac.uk/corporate-retreat-venues/,business,50-100,Central London,Low,
Darkroomlondon,https://darkroomlondon.com/,upscale,50-100,London,Low,50-100 rooms
Dukeshotel,http://www.dukeshotel.co.uk/,independent,50-100,Mayfair,Low,independent
Ellenkensington,https://ellenkensington.com/,independent,50-100,Kensington,Low,
Elsewhere Offsites,https://www.elsewhere-offsites.com/blog/top-corporate-retreat-venues,business,50-100,Central London,Low,
Epsteinweb,https://epsteinweb.org/barbro-c-ehnbom/,independent,50-100,Central London,Low,
Eventflare,https://eventflare.io/sitemap/spaces,independent,50-100,Central London,Low,
Events,https://events.olympia.london/international-convention-centre,business,50-100,Central London,Low,
Firmdale Hotels,https://www.firmdalehotels.com/our-spaces/ham-yard-hotel/the-roof-terrace,luxury,200+,Knightsbridge,Low,Limited group signal
Foxhills,https://www.foxhills.co.uk/meetings-events/escape-the-city,business,50-100,Central London,Low,
Gala,https://gala.gre.ac.uk/view/year/2016.keywords.html,independent,50-100,Central London,Low,
Grange Fitzrovia Hotel 1198959,https://vio.com/h/gb/grange-fitzrovia-hotel--1198959,chain,Unknown,Fitzrovia,Low,Limited fit
Grimsdyke,https://grimsdyke.com/,independent,50-100,Central London,Low,
Guidesforbrides,https://guidesforbrides.co.uk/wedding-ideas/iconic-hotel-wedding-venues-in-london,independent,50-100,Central London,Low,group events
Gutenberg,https://www.gutenberg.org/cache/epub/14415/pg14415-images.html,independent,50-100,Central London,Low,
Hart Shoreditch Hotel London – Perfect Stay for Concert Nights,https://www.concerthotels.com/hotel/hart-shoreditch-hotel-london-curio-collection-by-hilton/469368,chain,50-100,Islington,Low,Small independent property
Hedsor,https://www.hedsor.com/retreats,business,50-100,Central London,Low,
Heywoodhill,http://heywoodhill.com/,boutique,50-100,Mayfair,Low,50-100 rooms
Hireabus,https://hireabus.com/blog/top-london-hotels-for-conference-groups,business,50-100,Central London,Low,
Hotel conference venues in Clerkenwell,https://www.headbox.com/hire/london-uk/clerkenwell/hotel-conference-venues,chain,50-100,Islington,Low,Small independent property
"Hotel Indigo Clerkenwell: Unique Design, Comfort & Local Experiences in London",https://www.ihg.com/hotelindigo/hotels/gb/en/london/lonrc/hoteldetail?cm_mmc=GoogleMaps-_-IN-_-GB-_-LONRC,chain,50-100,Clerkenwell,Low,Small independent property
"Hotel Indigo London Clerkenwell: Unique Design, Comfort & Local Experiences in L",https://www.ihg.com/hotelindigo/hotels/it/it/london/lonrc/hoteldetail,chain,50-100,Clerkenwell,Low,Small independent property
Hotelduvin,https://www.hotelduvin.com/locations/wimbledon/meetings/corporate-retreats/,business,50-100,Central London,Low,
Hotels in Greater London,https://www.bestwestern.co.uk/destinations/greater-london/belgravia,chain,50-100,Kensington,Low,50-100 rooms
Ilecconferencecentre,https://ilecconferencecentre.co.uk/,business,50-100,Central London,Low,
In London,https://www.rosecourtevents.co.uk/,boutique,50-100,South Bank,Low,Group-ready
In.trip Hotel,https://in.trip.com/hotels/london-hotel-detail-21836968/oxford-street-regent-street-apartments/,business,100-200,Westminster,Low,50+ rooms
Kasamahotels,https://kasamahotels.com/,independent,50-100,Central London,Low,
Kentshillpark,https://www.kentshillpark.com/,business,50-100,Central London,Low,
Kimptonfitzroylondon,https://www.kimptonfitzroylondon.com/weddings/,independent,50-100,Central London,Low,group events
Lensbury,https://lensbury.com/,independent,50-100,Central London,Low,
Linkedin,https://linkedin.com/company/wyndham-grand-london-chelsea-harbour,independent,50-100,Chelsea,Low,
London Leicester Square Hotel,http://www.premierinn.com/gb/en/hotels/england/greater-london/london/london-leicester-square.html,chain,100-200,Westminster,Low,50+ rooms
"London Marriott Hotel Maida Vale, London",https://www.hotelscombined.se/Hotel/London_Marriott_Maida_Vale.htm,chain,50-100,Notting Hill,Low,Small independent property
Luxurious Riverside Rooms & Suites,https://fulhampierhotel.co.uk/rooms-suites/ ,independent,100-200,Hammersmith & Fulham,Low,50+ rooms
"Maitrise Hotel Maida Vale, London",https://www.hotelscombined.ca/Hotel/Maitrise_Hotel_Maida_Vale_London.htm,chain,50-100,Notting Hill,Low,Small independent property
Maitrise Hotels Limited,https://maitrisehotel.co.uk/,chain,50-100,Maida Vale,Low,Small independent property
Maybourne,https://www.maybourne.com/en/hotels/the-connaught/events/weddings ,independent,50-100,Central London,Low,group events
Millenniumhotels,https://millenniumhotels.com/en/london/the-chelsea-harbour-hotel-and-spa,independent,50-100,Chelsea,Low,
Misslondonconcierge,https://misslondonconcierge.co.uk/offsites-retreats-outside-london/,business,50-100,Central London,Low,
Modernroom,http://www.modernroom.co.uk/,upscale,100-200,London,Low,100-200 rooms
Modernvintageweddings,https://www.modernvintageweddings.com/top-ten-best-5-star-hotels-london-for-weddings-2025/,independent,50-100,Central London,Low,group events
Nationaltrail,https://www.nationaltrail.co.uk/en_GB/trails/cotswold-way/accommodation/,independent,50-100,Central London,Low,
Northumberland,https://www.northumberland.gov.uk/NorthumberlandCountyCouncil/media/Business/Business%20Rates/Business%20Rates%20Datasets/01NOV23-All-Properties-with-Parish-FINAL-v2.txt,business,50-100,Central London,Low,
Oetkercollection,https://www.oetkercollection.com/de/hotels/the-lanesborough/,independent,50-100,Central London,Low,
Offsite,https://www.offsite.com/destinations/london,independent,50-100,Central London,Low,
Olympia,http://www.olympia.london/space/the-international-convention-centre,business,50-100,Central London,Low,
Ottegolf,http://ottegolf.com/,independent,50-100,Central London,Low,
Our Boutique Hotels and Luxury Apartments,https://living-rooms.co.uk/,boutique,50-100,Mayfair,Low,50-100 rooms
"Our top pick of the best small boutique hotels in London, luxury hotels and holiday homes in London",https://www.secretplaces.com/england/london-region/london/best-boutique-hotels-holiday-homes,boutique,50-100,Kensington,Low,50-100 rooms
Pembroke Lodge,https://www.pembroke-lodge.co.uk/corporate-events/,business,50-100,Central London,Low,
Pentreath Hall,https://www.pentreath-hall.com/,upscale,100-200,London,Low,100-200 rooms
Planretreat,https://www.planretreat.com/destinations/corporate-retreat-london,business,50-100,Central London,Low,
Plaza Hotel Hammersmith,https://plazahotelhammersmith.co.uk/,independent,100-200,Hammersmith & Fulham,Low,50+ rooms
Premier Inn,https://www.premierinn.com/,chain,50-100,Various,Low,UK budget hotel chain
Premier Inn London Leicester Square,https://hotellondon.com/premier-inn-london-leicester-square,chain,100-200,Westminster,Low,50+ rooms
Qeiicc,https://qeiicc.co.uk/,business,50-100,Central London,Low,
Qeiicentre,https://qeiicentre.london/,business,50-100,Central London,Low,
Rathbonehotel,https://rathbonehotel.co.uk/,boutique,50-100,Fitzrovia,Low,Limited fit
Regent Street,https://www.landmarklondon.co.uk/neighbours/regent-street/,independent,100-200,Westminster,Low,50+ rooms
Retroliving,https://retroliving.co.uk/,upscale,50-100,Victoria,Low,50-100 rooms
Riversdalelodge,https://riversdalelodge.com/ ,independent,50-100,Central London,Low,
Rompboutique,https://www.rompboutique.com/our-story,boutique,50-100,London,Low,50-100 rooms
Room43,https://room43.co.uk/,upscale,50-100,London,Low,50-100 rooms
Ruma,https://www.ruma.events/post/top-corporate-retreat-venues-near-london-for-team-offsites-strategy-days-2026,business,50-100,Central London,Low,
Sg.trip Hotel,https://sg.trip.com/hotels/london-hotel-detail-9029414/premier-inn-london-leicester-square/,chain,50-100,Westminster,Low,50+ rooms
Shorehall,https://www.shorehall.com/corporate,business,50-100,Central London,Low,
Sixty3London,https://sixty3london.com/,upscale,50-100,London,Low,50-100 rooms
Sixty3Styled,https://sixty3styled.com/,upscale,100-200,Mayfair,Low,100-200 rooms
"SLH Luxury Hotels in London, United Kingdom",https://www.hilton.com/en/locations/united-kingdom/london/luxury/small-luxury-hotels-slh/,luxury,50-100,Chelsea,Low,50-100 rooms
Slrhotels,https://slrhotels.com/,independent,50-100,Central London,Low,
Small Luxury Hotels of the World,https://www.flemings-mayfair.co.uk/information/small-luxury-hotels-of-the-world,boutique,50-100,Mayfair,Low,50-100 rooms
Stedmundsburychronicle,http://www.stedmundsburychronicle.co.uk/Chronicle/1900-1945 ,independent,50-100,Central London,Low,
Teamout,https://www.teamout.com/corporate-retreat/london,business,50-100,Central London,Low,
Tewinbury,https://tewinbury.co.uk/tewinburycorporate/,business,50-100,Central London,Low,
Thames Riverside Location In London,https://fulhampierhotel.co.uk/location/ ,independent,100-200,Hammersmith & Fulham,Low,50+ rooms
Thatsup,https://thatsup.co.uk/london/explore/kensington-and-chelsea/hotel/5-star/ ,independent,50-100,Chelsea,Low,
The Academy Hotel London,https://www.theacademyhotel.com,boutique,50-100,Bloomsbury,Low,Boutique with event focus
The Chelsea Harbour Hotel London,https://the-chelsea-harbour-hotel-london.ibooked.ca/ ,independent,50-100,Chelsea,Low,
The Milestone Hotel & Residences,https://milestonehotel.com/events/weddings ,independent,50-100,Kensington,Low,group events
THE ZETTER CLERKENWELL HOTEL LONDON,https://thezetterclerkenwell.hotelinlondon.net/en/,chain,50-100,Notting Hill,Low,Small independent property
THE ZETTER CLERKENWELL HOTEL LONDON • BANQUET HALL,https://thezetterclerkenwell.londonahotel.com/en/,chain,50-100,Clerkenwell,Low,Small independent property
Theadria,https://theadria.com/ ,independent,50-100,Central London,Low,
Thecadoganhotel,https://thecadoganhotel.hotelinlondon.net/en/ ,independent,50-100,Central London,Low,
Thegallivant,https://thegallivant.co.uk/corporate-events/,business,50-100,Central London,Low,
Thelibrary1994,https://thelibrary1994.com/pages/about,boutique,50-100,Kensington,Low,50-100 rooms
Thelondoner,https://www.thelondoner.com/about-us/the-residence,boutique,50-100,London,Low,50-100 rooms
Theoldcinema,https://theoldcinema.co.uk/,upscale,50-100,Victoria,Low,50-100 rooms
Thetwentytwo,https://www.thetwentytwo.com/london/rooms/,boutique,50-100,Mayfair,Low,50-100 rooms
Thewed,https://thewed.com/magazine/breathtaking-wedding-venues-in-london,independent,50-100,Central London,Low,group events
Thezetter,https://www.thezetter.com/,boutique,50-100,Bloomsbury,Low,50-100 rooms
Thezettertownhouse,https://thezettertownhouse.com/,boutique,50-100,Bloomsbury,Low,50-100 rooms
Travel,https://travel.usnews.com/hotels/london_england/n-royal-borough-of-kensington-and-chelsea/,independent,50-100,Chelsea,Low,
Travelodge,https://www.travelodge.co.uk/,chain,50-100,Various,Low,UK budget hotel chain
Travelodge London,https://www.travelodge.co.uk/,chain,100-200,Central London,Low,"Budget chain, limited facilities"
Travelodge Park Royal,https://www.travelodge.co.uk/,chain,100-200,Acton,Low,"2-star, budget chain"
Traveloka,https://www.traveloka.com/en-kr/hotel/england/area/royal-london-borough-of-kensington-and-chelsea-4003333157/5-star-hotels-in-royal-london-borough-of-kensington-and-chelsea,independent,200+,Chelsea,Low,200+ rooms
Uk,https://uk.linkedin.com/company/small-luxury-hotels-of-the-world,boutique,50-100,London,Low,50-100 rooms
Uk.trip Hotel,https://uk.trip.com/hotels/london-hotel-detail-9029414/premier-inn-london-leicester-square/,chain,50-100,Westminster,Low,50+ rooms
Venue London,https://seacontainersevents.co.uk/,boutique,50-100,City,Low,Group-ready
Venuesearchlondon,https://www.venuesearchlondon.com/blog/1134/7-top-residential-conference-hotels-near-london,business,50-100,Central London,Low,
Victory House Leicester Square,https://victoryhouselondon.co.uk/,chain,100-200,Westminster,Low,50+ rooms
"W6 Hotel – Official Website- 4 star serviced apartments in Hammersmith, London",https://w6hotel.co.uk/,independent,100-200,Hammersmith & Fulham,Low,50+ rooms
Wego,https://www.wego.com/hotels/chains/best-western-premier-collection,chain,50-100,London,Low,50-100 rooms
Westlodgepark,https://www.westlodgepark.co.uk/,independent,50-100,Central London,Low,
Zedwell Hotel Piccadilly Circus,https://www.zedwellhotels.com/,budget,50-100,Westminster,Low,Budget Piccadilly hotel
